run_id,profile,workload,input_tokens,output_tokens,max_concurrency,requests,start_iso,end_iso,start_epoch_ms,end_epoch_ms,status,result_file,telemetry_file,note
expanded-250w-v2-20260731,mtp-c4,mixed,2048,2048,4,20,2026-07-31T19:30:00.318+08:00,2026-07-31T19:32:58.366+08:00,1785497400319,1785497578364,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-c4-official-mixed-2048-2048-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv,official;flush-cache-required
expanded-250w-v2-20260731,mtp-c4,mixed,4096,512,4,20,2026-07-31T19:32:58.405+08:00,2026-07-31T19:34:23.071+08:00,1785497578406,1785497663069,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-c4-official-mixed-4096-512-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv,official;flush-cache-required
expanded-250w-v2-20260731,mtp-c4,mixed,4096,1024,4,20,2026-07-31T19:34:23.105+08:00,2026-07-31T19:36:42.735+08:00,1785497663107,1785497802733,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-c4-official-mixed-4096-1024-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv,official;flush-cache-required
expanded-250w-v2-20260731,mtp-c4,mixed,4096,2048,4,0,2026-07-31T19:36:42.788+08:00,2026-07-31T19:36:42.788+08:00,1785497802790,1785497802790,skipped-capacity,,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv,required-total-tokens-24576-not-supported-by-capacity-20480
expanded-250w-v2-20260731,baseline-c4,mixed,2048,512,4,20,2026-07-31T19:38:27.217+08:00,2026-07-31T19:40:11.323+08:00,1785497907220,1785498011321,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-2048-512-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,2048,1024,4,20,2026-07-31T19:40:11.377+08:00,2026-07-31T19:43:00.723+08:00,1785498011380,1785498180721,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-2048-1024-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,2048,2048,4,20,2026-07-31T19:43:00.766+08:00,2026-07-31T19:48:06.745+08:00,1785498180768,1785498486743,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-2048-2048-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,4096,512,4,20,2026-07-31T19:48:06.803+08:00,2026-07-31T19:50:24.420+08:00,1785498486806,1785498624418,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-4096-512-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,4096,1024,4,20,2026-07-31T19:50:24.456+08:00,2026-07-31T19:54:15.603+08:00,1785498624458,1785498855600,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-4096-1024-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,4096,2048,4,0,2026-07-31T19:54:15.648+08:00,2026-07-31T19:54:15.648+08:00,1785498855650,1785498855650,skipped-capacity,,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv,required-total-tokens-24576-not-supported-by-capacity-20480
expanded-250w-v2-20260731,mtp,sharegpt,dataset,natural,1,30,2026-07-31T22:08:11.484+08:00,2026-07-31T22:10:19.486+08:00,1785506891486,1785507019484,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-real-sharegpt-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-220636-189.csv,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
expanded-250w-v2-20260731,mtp,longbench_v2,dataset,natural,1,20,2026-07-31T22:10:19.519+08:00,2026-07-31T22:12:10.998+08:00,1785507019521,1785507130996,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-real-longbench_v2-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-220636-189.csv,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,mtp,longbench_v2,dataset,512,1,20,2026-07-31T22:12:11.028+08:00,2026-07-31T22:16:02.935+08:00,1785507131030,1785507362934,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-real-longbench_v2-fixed-512-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-220636-189.csv,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline,sharegpt,dataset,natural,1,30,2026-07-31T22:17:40.298+08:00,2026-07-31T22:21:15.337+08:00,1785507460300,1785507675335,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-real-sharegpt-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-221610-476.csv,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline,longbench_v2,dataset,natural,1,20,2026-07-31T22:21:15.372+08:00,2026-07-31T22:23:04.378+08:00,1785507675374,1785507784376,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-real-longbench_v2-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-221610-476.csv,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline,longbench_v2,dataset,512,1,20,2026-07-31T22:23:04.409+08:00,2026-07-31T22:29:01.221+08:00,1785507784411,1785508141220,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-real-longbench_v2-fixed-512-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-221610-476.csv,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,mtp-c4,sharegpt,dataset,natural,4,20,2026-07-31T22:31:47.899+08:00,2026-07-31T22:32:45.995+08:00,1785508307901,1785508365993,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-c4-real-sharegpt-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-223012-034.csv,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,sharegpt,dataset,natural,4,20,2026-07-31T22:34:24.626+08:00,2026-07-31T22:35:41.269+08:00,1785508464629,1785508541267,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-real-sharegpt-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-223252-556.csv,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
