run_id,profile,workload,input_tokens,output_tokens,max_concurrency,requests,status,completed,duration_s,actual_concurrency,total_input_tokens,mean_input_tokens,median_input_tokens,max_input_tokens,total_output_tokens,mean_output_tokens,median_output_tokens,max_output_tokens,input_tok_s,e2e_output_tok_s,steady_decode_tok_s,mean_e2e_latency_ms,median_e2e_latency_ms,p95_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,accept_length,result_file,note
expanded-250w-v2-20260731,mtp,decode,4096,4096,1,3,passed,3,146.541,1.000,12288,4096.000,4096.000,4096.000,12288,4096.000,4096.000,4096.000,83.854,83.854,85.555,48836.295,46096.804,54714.164,972.321,971.311,979.907,11.688,11.021,13.124,3.125,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-4096-4096-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,4096,8192,1,3,passed,3,267.877,1.000,12288,4096.000,4096.000,4096.000,24576,8192.000,8192.000,8192.000,45.872,91.744,92.777,89281.304,86138.651,97749.104,994.096,975.375,1034.048,10.779,10.397,11.807,3.413,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-4096-8192-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,8192,1024,1,3,passed,3,41.267,0.999,24576,8192.000,8192.000,8192.000,3072,1024.000,1024.000,1024.000,595.539,74.442,86.827,13743.402,14791.339,15064.785,1961.388,1956.527,1970.339,11.517,12.546,12.800,3.198,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-8192-1024-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,8192,4096,1,3,passed,3,142.594,1.000,24576,8192.000,8192.000,8192.000,12288,4096.000,4096.000,4096.000,172.349,86.175,89.889,47520.419,46703.005,55258.053,1964.159,1962.076,1969.034,11.125,10.926,13.013,3.319,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-8192-4096-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,8192,8192,1,3,passed,3,266.098,1.000,24576,8192.000,8192.000,8192.000,24576,8192.000,8192.000,8192.000,92.357,92.357,94.454,88688.165,85848.640,93662.291,1968.310,1975.077,1976.820,10.587,10.240,11.196,3.504,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-8192-8192-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,20480,1024,1,3,passed,3,50.882,0.999,61440,20480.000,20480.000,20480.000,3072,1024.000,1024.000,1024.000,1207.510,60.375,87.739,16949.005,17185.194,18599.856,5289.455,5294.130,5312.679,11.397,11.604,13.035,3.316,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-20480-1024-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,20480,4096,1,0,skipped-capacity,,,,,,,,,,,,,,,,,,,,,,,,,,required-total-tokens-24576-not-supported-by-capacity-24576
expanded-250w-v2-20260731,mtp,decode,20480,8192,1,0,skipped-capacity,,,,,,,,,,,,,,,,,,,,,,,,,,required-total-tokens-28672-not-supported-by-capacity-24576
expanded-250w-v2-20260731,baseline,prefill,512,1,1,3,passed,3,0.660,0.957,1536,512.000,512.000,512.000,3,1.000,1.000,1.000,2326.171,4.543,,210.576,207.762,217.537,210.549,207.738,217.518,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-512-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,2048,1,1,3,passed,3,1.387,0.979,6144,2048.000,2048.000,2048.000,3,1.000,1.000,1.000,4428.561,2.162,,452.744,444.802,467.404,452.720,444.773,467.380,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-2048-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,4096,1,1,3,passed,3,2.694,0.989,12288,4096.000,4096.000,4096.000,3,1.000,1.000,1.000,4561.559,1.114,,888.097,881.495,900.562,888.072,881.462,900.537,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-4096-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,8192,1,1,3,passed,3,5.509,0.994,24576,8192.000,8192.000,8192.000,3,1.000,1.000,1.000,4460.704,0.545,,1825.962,1809.253,1862.072,1825.931,1809.203,1862.045,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-8192-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,12288,1,1,3,passed,3,8.461,0.996,36864,12288.000,12288.000,12288.000,3,1.000,1.000,1.000,4356.717,0.355,,2808.987,2800.616,2823.402,2808.958,2800.573,2823.377,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-12288-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,20480,1,1,3,passed,3,14.939,0.998,61440,20480.000,20480.000,20480.000,3,1.000,1.000,1.000,4112.762,0.201,,4969.293,4968.887,4991.793,4969.256,4968.854,4991.768,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-20480-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,1024,1024,1,3,passed,3,73.842,1.000,3072,1024.000,1024.000,1024.000,3072,1024.000,1024.000,1024.000,41.602,41.602,42.003,24602.672,24600.911,24608.367,247.463,244.933,253.739,23.808,23.808,23.808,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-1024-1024-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,1024,4096,1,3,passed,3,294.209,1.000,3072,1024.000,1024.000,1024.000,12288,4096.000,4096.000,4096.000,10.442,41.766,41.869,98057.973,98058.140,98058.310,251.883,252.234,254.401,23.884,23.884,23.885,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-1024-4096-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,1024,8192,1,3,passed,3,590.410,1.000,3072,1024.000,1024.000,1024.000,24576,8192.000,8192.000,8192.000,5.203,41.625,41.679,196790.267,196775.006,196816.896,265.392,257.041,283.471,23.993,23.992,23.994,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-1024-8192-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,4096,1024,1,3,passed,3,76.349,1.000,12288,4096.000,4096.000,4096.000,3072,1024.000,1024.000,1024.000,160.945,40.236,41.711,25437.466,25433.897,25447.964,911.344,905.365,922.063,23.975,23.974,23.977,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-4096-1024-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,4096,4096,1,3,passed,3,298.326,1.000,12288,4096.000,4096.000,4096.000,12288,4096.000,4096.000,4096.000,41.190,41.190,41.568,99430.883,99410.903,99468.030,918.505,917.236,922.296,24.057,24.051,24.066,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-4096-4096-c1.jsonl,official;flush-cache-required
